================================================================
======== Log Rotated - 2026/03/23, 00:00:00                     
[18:20:18] [WLQLa#3] Joshua Sprigs: said "/-openInventory"
[18:20:44] [WLQLa#3] Joshua Sprigs: said "/-placeItem"
[18:20:46] [WLQLa#3] Joshua Sprigs: said "/-openInventory"
[18:20:48] [WLQLa#3] Joshua Sprigs: said "/-openInventory"
[18:20:55] [WLQLa#3] Joshua Sprigs: said "/-openInventory"
[18:21:16] [WLQLa#3] Joshua Sprigs: said "/-openInventory"
[18:23:54] [WLQLa#3] Joshua Sprigs: disconnected (Exiting)
================================================================
======== txAdmin v8.0.1 atop fxserver 25770 Starting - 2026/03/23, 19:01:08
================================================================
[19:01:14] txAdmin: Logger started
[19:02:29] [aPzQV#1] Joshua Sprigs: joined with identifiers [license:7df1…5909, xbl:2535…2995, live:1055…0914, discord:5336…1534, fivem:2412049, license2:da0e…971c]
[19:02:47] [aPzQV#1] Joshua Sprigs: enabled noclip
[19:03:10] [aPzQV#1] Joshua Sprigs: became mortal (standard mode)
[19:03:12] [aPzQV#1] Joshua Sprigs: spawned a vehicle (model: issi5)
[19:03:13] [aPzQV#1] Joshua Sprigs: said "/-openInventory"
[19:03:14] [aPzQV#1] Joshua Sprigs: said "/-openInventory"
[19:03:24] [aPzQV#1] Joshua Sprigs: said "/-openInventory"
[19:03:33] [aPzQV#1] Joshua Sprigs: said "/-openInventory"
